"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Feb 02 12:13:47 GMT 2022","Wed Feb 02 12:13:47 GMT 2022","0","integration.tests.economy","test_economics","TestEconomics","","","test_send_two_identical_tx",""
"passed","Wed Feb 02 12:13:41 GMT 2022","Wed Feb 02 12:13:43 GMT 2022","2115","integration.tests.economy","test_economics","TestEconomics","","","test_contract_get_is_free","Verify that get contract calls is free"
"failed","Wed Feb 02 12:13:34 GMT 2022","Wed Feb 02 12:13:35 GMT 2022","1691","integration.tests.economy","test_economics","TestEconomics","","","test_send_neon_to_exist_account","Verify how many cost neon send to use who was already initialized"
"failed","Wed Feb 02 12:13:32 GMT 2022","Wed Feb 02 12:13:34 GMT 2022","1491","integration.tests.economy","test_economics","TestEconomics","","","test_neon_transaction_to_account","Verify how many cost neon send to new user"
"skipped","Wed Feb 02 12:13:47 GMT 2022","Wed Feb 02 12:13:47 GMT 2022","0","integration.tests.economy","test_economics","TestEconomics","","","test_verify_operator_initialization",""
"passed","Wed Feb 02 12:13:46 GMT 2022","Wed Feb 02 12:13:47 GMT 2022","1243","integration.tests.economy","test_economics","TestEconomics","","","test_failed_tx","Don't get money from user if tx failed"
"failed","Wed Feb 02 12:13:35 GMT 2022","Wed Feb 02 12:13:39 GMT 2022","3553","integration.tests.economy","test_economics","TestEconomics","","","test_erc20_contract","Verify ERC20 token send"
"skipped","Wed Feb 02 12:13:35 GMT 2022","Wed Feb 02 12:13:35 GMT 2022","0","integration.tests.economy","test_economics","TestEconomics","","","test_spl_transaction",""
"skipped","Wed Feb 02 12:13:47 GMT 2022","Wed Feb 02 12:13:47 GMT 2022","0","integration.tests.economy","test_economics","TestEconomics","","","test_another_operator_complete_tx","Maybe impossible from this side"
"failed","Wed Feb 02 12:13:43 GMT 2022","Wed Feb 02 12:13:46 GMT 2022","2796","integration.tests.economy","test_economics","TestEconomics","","","test_cost_resize_account","Verify how much cost account resize"
"failed","Wed Feb 02 12:13:39 GMT 2022","Wed Feb 02 12:13:41 GMT 2022","2044","integration.tests.economy","test_economics","TestEconomics","","","test_tx_lower_100_instruction","Verify we are bill minimum for 100 instruction"
"failed","Wed Feb 02 12:13:31 GMT 2022","Wed Feb 02 12:13:32 GMT 2022","908","integration.tests.economy","test_economics","TestEconomics","","","test_account_creation","Verify account creation spend SOL"
"skipped","Wed Feb 02 12:13:47 GMT 2022","Wed Feb 02 12:13:47 GMT 2022","0","integration.tests.economy","test_economics","TestEconomics","","","test_block_deposit",""
