"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Feb 02 12:05:26 GMT 2022","Wed Feb 02 12:05:26 GMT 2022","0","integration.tests.economy","test_economics","TestEconomics","","","test_send_two_identical_tx",""
"failed","Wed Feb 02 12:05:05 GMT 2022","Wed Feb 02 12:05:07 GMT 2022","2141","integration.tests.economy","test_economics","TestEconomics","","","test_neon_transaction_to_account","Verify how many cost neon send to new user"
"skipped","Wed Feb 02 12:05:26 GMT 2022","Wed Feb 02 12:05:26 GMT 2022","0","integration.tests.economy","test_economics","TestEconomics","","","test_verify_operator_initialization",""
"skipped","Wed Feb 02 12:05:26 GMT 2022","Wed Feb 02 12:05:26 GMT 2022","0","integration.tests.economy","test_economics","TestEconomics","","","test_another_operator_complete_tx","Maybe impossible from this side"
"failed","Wed Feb 02 12:05:20 GMT 2022","Wed Feb 02 12:05:24 GMT 2022","3866","integration.tests.economy","test_economics","TestEconomics","","","test_cost_resize_account","Verify how much cost account resize"
"failed","Wed Feb 02 12:05:15 GMT 2022","Wed Feb 02 12:05:18 GMT 2022","2890","integration.tests.economy","test_economics","TestEconomics","","","test_tx_lower_100_instruction","Verify we are bill minimum for 100 instruction"
"skipped","Wed Feb 02 12:05:26 GMT 2022","Wed Feb 02 12:05:26 GMT 2022","0","integration.tests.economy","test_economics","TestEconomics","","","test_block_deposit",""
"skipped","Wed Feb 02 12:05:09 GMT 2022","Wed Feb 02 12:05:09 GMT 2022","0","integration.tests.economy","test_economics","TestEconomics","","","test_spl_transaction",""
"passed","Wed Feb 02 12:05:24 GMT 2022","Wed Feb 02 12:05:26 GMT 2022","2017","integration.tests.economy","test_economics","TestEconomics","","","test_failed_tx","Don't get money from user if tx failed"
"failed","Wed Feb 02 12:05:03 GMT 2022","Wed Feb 02 12:05:05 GMT 2022","1442","integration.tests.economy","test_economics","TestEconomics","","","test_account_creation","Verify account creation spend SOL"
"failed","Wed Feb 02 12:05:09 GMT 2022","Wed Feb 02 12:05:15 GMT 2022","5346","integration.tests.economy","test_economics","TestEconomics","","","test_erc20_contract","Verify ERC20 token send"
"passed","Wed Feb 02 12:05:18 GMT 2022","Wed Feb 02 12:05:20 GMT 2022","2847","integration.tests.economy","test_economics","TestEconomics","","","test_contract_get_is_free","Verify that get contract calls is free"
"failed","Wed Feb 02 12:05:07 GMT 2022","Wed Feb 02 12:05:09 GMT 2022","2529","integration.tests.economy","test_economics","TestEconomics","","","test_send_neon_to_exist_account","Verify how many cost neon send to use who was already initialized"
