"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Mar 07 12:02:20 GMT 2022","Mon Mar 07 12:02:31 GMT 2022","11838","integration.tests.economy","test_economics","TestEconomics","","","test_failed_tx_when_less_gas","Don't get money from user if tx failed"
"passed","Mon Mar 07 12:01:18 GMT 2022","Mon Mar 07 12:01:31 GMT 2022","13040","integration.tests.economy","test_economics","TestEconomics","","","test_deploy_small_contract_less_neon",""
"skipped","Mon Mar 07 12:03:47 GMT 2022","Mon Mar 07 12:03:55 GMT 2022","8286","integration.tests.economy","test_economics","TestEconomics","","","test_tx_interact_more_1kb_less_gas","Send to contract a big text (tx more than 1 kb)"
"passed","Mon Mar 07 12:00:13 GMT 2022","Mon Mar 07 12:00:26 GMT 2022","13314","integration.tests.economy","test_economics","TestEconomics","","","test_send_when_not_enough_for_gas",""
"skipped","Mon Mar 07 12:00:26 GMT 2022","Mon Mar 07 12:00:26 GMT 2022","0","integration.tests.economy","test_economics","TestEconomics","","","test_spl_transaction",""
"failed","Mon Mar 07 12:04:21 GMT 2022","Mon Mar 07 12:04:33 GMT 2022","11726","integration.tests.economy","test_economics","TestEconomics","","","test_deploy_contract_more_1kb_less_gas",""
"broken","Mon Mar 07 12:02:31 GMT 2022","Mon Mar 07 12:02:38 GMT 2022","6775","integration.tests.economy","test_economics","TestEconomics","","","test_contract_interact_more_500_steps","Deploy a contract with more 500 instructions"
"passed","Mon Mar 07 12:03:03 GMT 2022","Mon Mar 07 12:03:18 GMT 2022","14859","integration.tests.economy","test_economics","TestEconomics","","","test_contract_interact_more_500000_bpf_less_neon","Deploy a contract with more 500000 bpf"
"broken","Mon Mar 07 12:00:26 GMT 2022","Mon Mar 07 12:00:33 GMT 2022","6764","integration.tests.economy","test_economics","TestEconomics","","","test_erc20_contract","Verify ERC20 token send"
"broken","Mon Mar 07 12:03:18 GMT 2022","Mon Mar 07 12:03:32 GMT 2022","13820","integration.tests.economy","test_economics","TestEconomics","","","test_tx_interact_more_1kb","Send to contract a big text (tx more than 1 kb)"
"broken","Mon Mar 07 12:01:49 GMT 2022","Mon Mar 07 12:01:50 GMT 2022","1721","integration.tests.economy","test_economics","TestEconomics","","","test_contract_get_is_free","Verify that get contract calls is free"
"passed","Mon Mar 07 12:01:31 GMT 2022","Mon Mar 07 12:01:49 GMT 2022","17094","integration.tests.economy","test_economics","TestEconomics","","","test_deploy_to_losted_contract_account",""
"passed","Mon Mar 07 12:04:08 GMT 2022","Mon Mar 07 12:04:21 GMT 2022","12892","integration.tests.economy","test_economics","TestEconomics","","","test_deploy_contract_more_1kb_less_neon",""
"passed","Mon Mar 07 12:04:43 GMT 2022","Mon Mar 07 12:04:58 GMT 2022","15418","integration.tests.economy","test_economics","TestEconomics","","","test_deploy_contract_to_exist_unpayed",""
"broken","Mon Mar 07 12:04:33 GMT 2022","Mon Mar 07 12:04:43 GMT 2022","9972","integration.tests.economy","test_economics","TestEconomics","","","test_deploy_contract_to_payed",""
