"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Feb 02 11:54:41 GMT 2022","Wed Feb 02 11:54:41 GMT 2022","0","integration.tests.economy","test_economics","TestEconomics","","","test_another_operator_complete_tx","Maybe impossible from this side"
"failed","Wed Feb 02 11:54:30 GMT 2022","Wed Feb 02 11:54:32 GMT 2022","2477","integration.tests.economy","test_economics","TestEconomics","","","test_tx_lower_100_instruction","Verify we are bill minimum for 100 instruction"
"skipped","Wed Feb 02 11:54:25 GMT 2022","Wed Feb 02 11:54:25 GMT 2022","0","integration.tests.economy","test_economics","TestEconomics","","","test_spl_transaction",""
"passed","Wed Feb 02 11:54:32 GMT 2022","Wed Feb 02 11:54:35 GMT 2022","2755","integration.tests.economy","test_economics","TestEconomics","","","test_contract_get_is_free","Verify that get contract calls is free"
"skipped","Wed Feb 02 11:54:41 GMT 2022","Wed Feb 02 11:54:41 GMT 2022","0","integration.tests.economy","test_economics","TestEconomics","","","test_send_two_identical_tx",""
"failed","Wed Feb 02 11:54:22 GMT 2022","Wed Feb 02 11:54:25 GMT 2022","2525","integration.tests.economy","test_economics","TestEconomics","","","test_send_neon_to_exist_account","Verify how many cost neon send to use who was already initialized"
"failed","Wed Feb 02 11:54:25 GMT 2022","Wed Feb 02 11:54:30 GMT 2022","4756","integration.tests.economy","test_economics","TestEconomics","","","test_erc20_contract","Verify ERC20 token send"
"skipped","Wed Feb 02 11:54:41 GMT 2022","Wed Feb 02 11:54:41 GMT 2022","0","integration.tests.economy","test_economics","TestEconomics","","","test_block_deposit",""
"failed","Wed Feb 02 11:54:35 GMT 2022","Wed Feb 02 11:54:39 GMT 2022","3817","integration.tests.economy","test_economics","TestEconomics","","","test_cost_resize_account","Verify how much cost account resize"
"skipped","Wed Feb 02 11:54:41 GMT 2022","Wed Feb 02 11:54:41 GMT 2022","0","integration.tests.economy","test_economics","TestEconomics","","","test_verify_operator_initialization",""
"failed","Wed Feb 02 11:54:20 GMT 2022","Wed Feb 02 11:54:22 GMT 2022","1991","integration.tests.economy","test_economics","TestEconomics","","","test_neon_transaction_to_account","Verify how many cost neon send to new user"
"failed","Wed Feb 02 11:54:19 GMT 2022","Wed Feb 02 11:54:20 GMT 2022","1315","integration.tests.economy","test_economics","TestEconomics","","","test_account_creation","Verify account creation spend SOL"
"passed","Wed Feb 02 11:54:39 GMT 2022","Wed Feb 02 11:54:41 GMT 2022","1788","integration.tests.economy","test_economics","TestEconomics","","","test_failed_tx","Don't get money from user if tx failed"
